From,To,Enzyme
Glucose,Glucose-6-phosphate,Hexokinase
Glucose-6-phosphate,Fructose-6-phosphate,Phosphoglucose isomeras
Fructose-6-phosphate,Fructose-1-6-phosphate,Phosphofructokinase 1
Fructose-1-6-phosphate,Dihydroxyacetone phosphate,Aldolase
Fructose-1-6-phosphate,Glyceraldehyde 3-phosphate,Aldolase
Dihydroxyacetone phosphate,Glyceraldehyde 3-phosphate,Triosephosphate isomeras
Glyceraldehyde 3-phosphate,1-3-Bisphosphoglycerate,Glyceraldehyde 3-phosphate dehydrogenase
1-3-Bisphosphoglycerate,3-Phosphoglycerate,Phosphoglycerate kinase
3-Phosphoglycerate,2-Phosphoglycerate,Phosphologlyceromutase
2-Phosphoglycerate,Phosphoenolpyruvate,Enolase
Phosphoenolpyruvate,Pyruvate, Pyruvate kinase
